interface_cond,n,mean,std,median,iqr
dashboard,209,0.7281747722799295,0.263393764746935,0.83284312177745,0.41532382462761597
chatbot,190,0.759639667264231,0.26875072656866,0.8777503064278265,0.44773912541713456
